Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Module - Addon/Submodule - Maintenance Routine/Negative (New)/Create - New Indicator Template with Template Name over 30char,Chrome 144.0.7559.110,,,03-02-2026 10:02:08,03-02-2026 10:02:46,37.882s,PASSED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 10:02:08,03-02-2026 10:02:08,0.005s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:08,03-02-2026 10:02:09,1.422s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Badge - Indicator""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:09,03-02-2026 10:02:13,3.785s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Template""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:13,03-02-2026 10:02:16,2.655s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Template Name""), generatedOver30Name)",Chrome 144.0.7559.110,,,03-02-2026 10:02:16,03-02-2026 10:02:18,1.765s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Select Category in Dialog""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:18,03-02-2026 10:02:19,1.382s,PASSED
company.EntitySelector.selectCategoryInDialog(defaultCategory),Chrome 144.0.7559.110,,,03-02-2026 10:02:19,03-02-2026 10:02:21,2.095s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Select""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:21,03-02-2026 10:02:23,1.358s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Template Description""), generatedName)",Chrome 144.0.7559.110,,,03-02-2026 10:02:23,03-02-2026 10:02:24,1.696s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Indicator""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:24,03-02-2026 10:02:25,1.231s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Indicator Name""), ""Servis"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:25,03-02-2026 10:02:27,1.696s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Input - Select Type""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:27,03-02-2026 10:02:29,1.391s,PASSED
"click(findTestObject(""Object - Maintenance Routine/List - Selection""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:29,03-02-2026 10:02:30,1.392s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Input - Value Type""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:30,03-02-2026 10:02:31,1.377s,PASSED
"click(findTestObject(""Object - Maintenance Routine/List - Text""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:31,03-02-2026 10:02:33,1.342s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Measurement""), ""Condition"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:33,03-02-2026 10:02:34,1.711s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Selection""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:34,03-02-2026 10:02:36,1.387s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Selection value 1""), ""Good"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:36,03-02-2026 10:02:37,1.677s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Selection value 2""), ""Need Repair"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:37,03-02-2026 10:02:39,1.512s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Selection value 3""), ""Broken"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:39,03-02-2026 10:02:40,1.478s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Save""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:40,03-02-2026 10:02:42,1.219s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Submit""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:42,03-02-2026 10:02:43,1.350s,PASSED
"company.validatorMessage.verifyErrorMessage(""Max. 30 characters"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:43,03-02-2026 10:02:43,0.251s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Close""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:43,03-02-2026 10:02:44,1.165s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Continue""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:44,03-02-2026 10:02:46,1.406s,PASSED
